语种,语种（英文）,优先级,,,,,,,,,,,,,,,,,
英语（美国）,English (US),P0,,,,,,,,,,,,,,,,,
中文（普通话，简体）,"Chinese (Mandarin, Simplified)",P0,,,,,,,,,,,,,,,,,
日语（日本）,Japanese (Japan),P0,,,,,,,,,,,,,,,,,
西班牙语（美国）,Spanish (US),P1,,,,,,,,,,,,,,,,,
泰语（泰国）,Thai (Thailand),P1,,,,,,,,,,,,,,,,,
中文（粤语，繁体）,"Chinese (Cantonese, Traditional)",P1,,,,,,,,,,,,,,,,,
中文（台湾普通话，繁体）,"Chinese (Taiwan Mandarin, Traditional)",P1,,,,,,,,,,,,,,,,,
德语（德国）,German (Germany),P2,,,,,,,,,,,,,,,,,
法语（法国）,French (France),P2,,,,,,,,,,,,,,,,,
意大利语（意大利）,Italian (Italy),P2,,,,,,,,,,,,,,,,,
韩语（韩国),Korean (South Korea),P2,,,,,,,,,,,,,,,,,
俄语（俄罗斯）,Russian (Russia),P2,,,,,,,,,,,,,,,,,
南非荷兰语（南非）,Afrikaans (South Africa),P3,,,,,,,,,,,,,,,,,
阿姆哈拉语（埃塞俄比亚）,Amharic (Ethiopia),P3,,,,,,,,,,,,,,,,,
阿拉伯语（阿拉伯联合酋长国）,Arabic (United Arab Emirates),P3,,,,,,,,,,,,,,,,,
阿拉伯语（巴林）,Arabic (Bahrain),P3,,,,,,,,,,,,,,,,,
阿拉伯语（阿尔及利亚）,Arabic (Algeria),P3,,,,,,,,,,,,,,,,,
阿拉伯语（埃及）,Arabic (Egypt),P3,,,,,,,,,,,,,,,,,
阿拉伯语（以色列）,Arabic (Israel),P3,,,,,,,,,,,,,,,,,
阿拉伯语（伊拉克）,Arabic (Iraq),P3,,,,,,,,,,,,,,,,,
阿拉伯语（约旦）,Arabic (Jordan),P3,,,,,,,,,,,,,,,,,
阿拉伯语（科威特）,Arabic (Kuwait),P3,,,,,,,,,,,,,,,,,
阿拉伯语（黎巴嫩）,Arabic (Lebanon),P3,,,,,,,,,,,,,,,,,
阿拉伯语（利比亚）,Arabic (Libya),P3,,,,,,,,,,,,,,,,,
阿拉伯语（摩洛哥）,Arabic (Morocco),P3,,,,,,,,,,,,,,,,,
阿拉伯语（阿曼）,Arabic (Oman),P3,,,,,,,,,,,,,,,,,
阿拉伯语（巴勒斯坦民族权利机构）,Arabic (Palestinian Authority),P3,,,,,,,,,,,,,,,,,
阿拉伯语（卡塔尔）,Arabic (Qatar),P3,,,,,,,,,,,,,,,,,
阿拉伯语（沙特阿拉伯）,Arabic (Saudi Arabia),P3,,,,,,,,,,,,,,,,,
阿拉伯语（叙利亚）,Arabic (Syria),P3,,,,,,,,,,,,,,,,,
阿拉伯语（突尼斯）,Arabic (Tunisia),P3,,,,,,,,,,,,,,,,,
阿拉伯语（也门）,Arabic (Yemen),P3,,,,,,,,,,,,,,,,,
阿萨姆语（印度）,Assamese (India),P3,,,,,,,,,,,,,,,,,
