模板名称,所属行业,五维要素,预览样式示例
会议纪要模板,通用（所有行业）,"Context: 会议记录
Focus: 行动项、结论、时间节点
Format: 条目式
Style: 简洁、专业
Audience: 团队成员、领导","会议概述：对会议的整体背景和主题进行简要总结
主要结论：会议中达成的共识或重要总结
行动项：需要落实的任务与负责人
下次会议时间：后续跟进的会议安排"image.png
项目进度模板,通用（所有行业）,"Context: 项目进展工作
Focus: 完成情况、风险、下一步计划
Format: 三段式
Style: 简约
Audience: 项目组、管理层","项目阶段：当前项目所处的阶段（立项/执行/收尾）
已完成：阶段内已完成的工作事项
风险与问题：当前项目面临的困难与潜在风险
下一步：计划中的下一阶段工作内容"
周报模版,通用（所有行业）,"Context: 周度工作总结
Focus: 本周工作、成果、下周计划
Format: 条目/结果结合
Style: 清晰、简洁
Audience: 直属上级、团队","本周完成：本周完成的主要工作任务
问题与挑战：遇到的问题或困难说明
下周计划：未来一周的目标与安排"
产品需求模板,信息技术/互联网,"Context: 产品功能分析
Focus: 用户需求点、功能结构、优先级
Format: 三段式
Style: 结构化
Audience: 产品经理、研发","背景说明：需求产生的背景与原因
优先级与负责人：需求内容的排序
问题描述：问题的具体情况"
Bug/问题跟进模板,信息技术/互联网,"Context: 问题排查与跟踪
Focus: 问题描述、状态、负责人
Format: 表格/条目
Style: 简洁明了
Audience: 测试、研发团队","当前状态：问题目前的进展（待解决/处理中/已解决）
负责人：负责处理该问题的人员
解决方案：针对问题的具体处理方式"
技术评审模版,信息技术/互联网,"Context: 技术方案评审
Focus: 方案要点、优缺点、决策
Format: 条目式
Style: 专业、客观
Audience: 技术团队","方案概述：整体方案的简要说明
优点：方案的优势和可取之处
缺点：方案的不足或风险点
结论：最终的评审结论或建议"
投资分析模板,金融,"Context: 投资机会分析
Focus: 市场背景、数据指标、结论
Format: 三段式
Style: 专业、理性
Audience: 投资人、高管","市场背景：相关市场的整体情况
财务分析：核心财务指标与数据支撑
投资结论：是否值得投资及原因
风险点：潜在的风险事件"
风险评估模板,金融,"Context: 风险识别与应对
Focus: 风险点、描述
Format: 条项/条目
Style: 严谨
Audience: 风控团队、管理层","影响程度：风险可能带来的影响范围
应对措施：相应的预防和解决方案
收入情况：本期的收入来源和金额"
财务报告模板,金融,"Context: 财务总结
Focus: 收入、支出、利润、短期
Format: 表格+段落
Style: 正式
Audience: 管理层、投资人","支出情况：本期的主要支出项目
利润分析：整体利润的分布和趋势"
教学总结模板,教育,"Context: 教学回顾
Focus: 教学目标、过程、效果
Format: 段落式
Style: 正式/反思
Audience: 教师、教研组","教学目标：本次教学设定的目标
教学过程：教学过程中的主要环节
效果反馈：课堂效果与达成情况
学生表现：学生对课程的主要反应"
学生反馈模板,教育,"Context: 学生意见整理
Focus: 体验感受、问题点、建议
Format: 条目式
Style: 简洁
Audience: 教师、学校管理层","问题与不足：学生提出的问题与课程不足
改进建议：学生给出的优化建议"
