翻译语种名称,英语
南非荷兰语,Afrikaans
阿姆哈拉语,Amharic
阿拉伯语,Arabic
阿萨姆语,Assamese
阿塞拜疆语,Azerbaijani
保加利亚语,Bulgarian
孟加拉语,Bengali
波斯尼亚语,Bosnian
加泰罗尼亚语,Catalan
捷克语,Czech
威尔士语,Welsh
丹麦语,Danish
德语,German
希腊语,Greek
英语,English
西班牙语,Spanish
爱沙尼亚语,Estonian
巴斯克语,Basque
波斯语,Persian
芬兰语,Finnish
菲律宾语,Filipino
法语,French
爱尔兰语,Irish
加利西亚语,Galician
古吉拉特语,Gujarati
希伯来语,Hebrew
印地语,Hindi
克罗地亚语,Croatian
匈牙利语,Hungarian
亚美尼亚语,Armenian
印度尼西亚语,Indonesian
冰岛语,Icelandic
意大利语,Italian
日语,Japanese
爪哇语,Javanese
格鲁吉亚语,Georgian
哈萨克语,Kazakh
高棉语,Khmer
卡纳达语,Kannada
韩语,Korean
老挝语,Lao
立陶宛语,Lithuanian
拉脱维亚语,Latvian
马其顿语,Macedonian
马拉雅拉姆语,Malayalam
蒙古语,Mongolian
马拉地语,Marathi
马来语,Malay
马耳他语,Maltese
缅甸语,Burmese
书面挪威语,Norwegian
尼泊尔语,Nepali
荷兰语,Dutch
奥里亚语,Odia
旁遮普语,Punjabi
波兰语,Polish
普什图语,Pashto
葡萄牙语,Portuguese
罗马尼亚语,Romanian
俄语,Russian
僧伽罗语,Sinhala
斯洛伐克语,Slovak
斯洛文尼亚语,Slovene
索马里语,Somali
阿尔巴尼亚语,Albanian
塞尔维亚语,Serbian
瑞典语,Swedish
斯瓦希里语,Swahili
泰米尔语,Tamil
泰卢固语,Telugu
泰语,Thai
土耳其语,Turkish
乌克兰语,Ukrainian
乌尔都语,Urdu
乌兹别克语,Uzbek
越南语,Vietnamese
简体中文,Simplified Chinese
繁体中文,Traditional Chinese
祖鲁语,Zulu
